Duration in months,Credit history,Purpose,Credit amount,Present employment since,Installment Rate,Gender,Marital Status,Present resident since,Property,Age,Housing,Employment,Credit Risk
12,Credits paid back duly,Radio/Television,2149,< 4 year,4,Male,Divorced,1,No property,29,Free,Skilled,0
15,Existing credits paid back duly,Car,3812,< 1 year,1,Female,Unknown,4,Car or other property,23,Own,Skilled,1
11,No credits existing,Radio/Television,1154,Unemployed,4,Female,Unknown,4,Real estate,57,Own,Unskilled resident,1
12,Existing credits paid back duly,Furniture,1657,< 4 year,2,Male,Single,2,Real estate,27,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,1603,>= 7 year,4,Female,Unknown,4,Car or other property,55,Own,Skilled,1
18,No credits existing,Car,5302,>= 7 year,2,Male,Single,4,No property,36,Free,Self-employed,1
12,No credits existing,Education,2748,>= 7 year,2,Female,Unknown,4,No property,57,Free,Unskilled resident,1
10,No credits existing,Car,1231,>= 7 year,3,Male,Single,4,Real estate,32,Own,Unskilled resident,1
15,Existing credits paid back duly,Radio/Television,802,>= 7 year,4,Male,Single,3,Car or other property,37,Own,Skilled,0
36,No credits existing,Business,6304,>= 7 year,4,Male,Single,4,Real estate,36,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,1533,< 1 year,4,Female,Unknown,3,Car or other property,38,Own,Skilled,1
14,Existing credits paid back duly,Car,8978,>= 7 year,1,Male,Divorced,4,Life Insurance,45,Own,Self-employed,0
24,Existing credits paid back duly,Radio/Television,999,>= 7 year,4,Male,Single,2,Car or other property,25,Own,Skilled,1
18,Existing credits paid back duly,Car,2662,< 7 year,4,Male,Single,3,Life Insurance,32,Own,Skilled,1
12,No credits existing,Furniture,1402,< 7 year,3,Female,Unknown,4,Car or other property,37,Rent,Skilled,1
48,Credits paid back duly,Car,12169,Unemployed,4,Male,Single,4,No property,36,Free,Self-employed,1
48,Existing credits paid back duly,Radio/Television,3060,< 7 year,4,Male,Single,4,Real estate,28,Own,Skilled,0
30,Existing credits paid back duly,Repairs,11998,< 1 year,1,Male,Divorced,1,No property,34,Own,Unskilled resident,0
9,Existing credits paid back duly,Radio/Television,2697,< 4 year,1,Male,Single,2,Real estate,32,Own,Skilled,1
18,No credits existing,Radio/Television,2404,< 4 year,2,Female,Unknown,2,Car or other property,26,Own,Skilled,1
12,Existing credits paid back duly,Furniture,1262,>= 7 year,2,Male,Divorced,4,Life Insurance,49,Own,Unskilled resident,1
6,Existing credits paid back duly,Furniture,4611,< 1 year,1,Female,Unknown,4,Life Insurance,32,Own,Skilled,0
24,Existing credits paid back duly,Radio/Television,1901,< 4 year,4,Male,Single,4,Car or other property,29,Rent,Self-employed,1
15,No credits existing,Car,3368,>= 7 year,3,Male,Single,4,No property,23,Rent,Skilled,1
12,Existing credits paid back duly,Furniture,1574,< 4 year,4,Male,Single,2,Real estate,50,Own,Skilled,1
18,Credits paid back duly,Radio/Television,1445,< 7 year,4,Male,Single,4,Car or other property,49,Own,Unskilled resident,1
15,No credits existing,Furniture,1520,>= 7 year,4,Male,Single,4,Life Insurance,63,Own,Skilled,1
24,No credits existing,Car,3878,< 1 year,4,Male,Divorced,2,Car or other property,37,Own,Skilled,1
47,Existing credits paid back duly,Car,10722,< 1 year,1,Female,Unknown,1,Real estate,35,Own,Unskilled resident,1
48,Existing credits paid back duly,Car,4788,< 7 year,4,Male,Single,3,Life Insurance,26,Own,Skilled,1
48,Delay in paying off,Car0,7582,Unemployed,2,Male,Single,4,No property,31,Free,Self-employed,1
12,Existing credits paid back duly,Radio/Television,1092,< 4 year,4,Female,Unknown,4,Real estate,49,Own,Skilled,1
24,Delay in paying off,Radio/Television,1024,< 1 year,4,Male,Married,4,Real estate,48,Own,Skilled,0
12,Existing credits paid back duly,Business,1076,< 4 year,2,Male,Married,2,Real estate,26,Own,Skilled,1
36,Existing credits paid back duly,Car,9398,< 1 year,1,Male,Married,4,Car or other property,28,Rent,Self-employed,0
24,No credits existing,Car,6419,>= 7 year,2,Female,Unknown,4,No property,44,Free,Self-employed,1
42,No credits existing,Car,4796,>= 7 year,4,Male,Single,4,No property,56,Free,Skilled,1
48,No credits existing,Business,7629,>= 7 year,4,Male,Divorced,2,Car or other property,46,Own,Self-employed,1
48,Existing credits paid back duly,Furniture,9960,< 1 year,1,Female,Unknown,2,Car or other property,26,Own,Skilled,0
12,Existing credits paid back duly,Car,4675,< 1 year,1,Female,Unknown,4,Car or other property,20,Rent,Skilled,1
10,Existing credits paid back duly,Car,1287,>= 7 year,4,Male,Single,2,Life Insurance,45,Own,Unskilled resident,1
18,Existing credits paid back duly,Furniture,2515,< 4 year,3,Male,Single,4,Real estate,43,Own,Skilled,1
21,No credits existing,Furniture,2745,< 7 year,3,Male,Single,2,Car or other property,32,Own,Skilled,1
6,Existing credits paid back duly,Car,672,Unemployed,1,Female,Unknown,4,Real estate,54,Own,Unemployed,1
36,No credits taken,Radio/Television,3804,< 4 year,4,Female,Unknown,1,Car or other property,42,Own,Skilled,0
24,No credits existing,Car,1344,< 7 year,4,Male,Single,2,Real estate,37,Own,Unskilled resident,0
10,No credits existing,Car,1038,< 7 year,4,Male,Single,3,Life Insurance,49,Own,Skilled,1
48,No credits existing,Car,10127,< 4 year,2,Male,Single,2,No property,44,Free,Skilled,0
6,Existing credits paid back duly,Furniture,1543,< 4 year,4,Male,Divorced,2,Real estate,33,Own,Skilled,1
30,Existing credits paid back duly,Car,4811,< 7 year,2,Female,Unknown,4,Life Insurance,24,Rent,Unskilled resident,1
12,Existing credits paid back duly,Radio/Television,727,< 1 year,4,Male,Married,3,No property,33,Own,Unskilled resident,0
8,Existing credits paid back duly,Furniture,1237,< 4 year,3,Female,Unknown,4,Real estate,24,Own,Skilled,0
9,Existing credits paid back duly,Car,276,< 4 year,4,Male,Married,4,Real estate,22,Rent,Unskilled resident,1
48,Existing credits paid back duly,Car0,5381,Unemployed,3,Male,Single,4,No property,40,Free,Unemployed,1
24,Existing credits paid back duly,Furniture,5511,< 4 year,4,Male,Single,1,Car or other property,25,Own,Skilled,1
24,Existing credits paid back duly,Furniture,3749,< 1 year,2,Female,Unknown,4,Car or other property,26,Own,Skilled,1
12,Existing credits paid back duly,Car,685,< 7 year,2,Male,Married,3,Car or other property,25,Own,Unskilled resident,0
4,Existing credits paid back duly,Car,1494,< 1 year,1,Male,Single,2,Real estate,29,Own,Unskilled resident,1
36,Credits paid back duly,Furniture,2746,>= 7 year,4,Male,Single,4,Car or other property,31,Own,Skilled,0
12,Existing credits paid back duly,Furniture,708,< 4 year,2,Male,Single,3,Life Insurance,38,Own,Unskilled resident,1
24,Existing credits paid back duly,Furniture,4351,< 4 year,1,Female,Unknown,4,Life Insurance,48,Own,Unskilled resident,1
12,No credits existing,Education,701,< 4 year,4,Male,Single,2,Car or other property,32,Own,Skilled,1
15,Delay in paying off,Furniture,3643,>= 7 year,1,Female,Unknown,4,Life Insurance,27,Own,Unskilled resident,1
30,No credits existing,Car,4249,Unemployed,4,Male,Married,2,Car or other property,28,Own,Self-employed,0
24,Existing credits paid back duly,Radio/Television,1938,< 1 year,4,Male,Divorced,3,Life Insurance,32,Own,Skilled,0
24,Existing credits paid back duly,Car,2910,< 7 year,2,Male,Single,1,No property,34,Free,Self-employed,1
18,Existing credits paid back duly,Furniture,2659,< 4 year,4,Male,Single,2,Car or other property,28,Own,Skilled,1
18,No credits existing,Car,1028,< 4 year,4,Female,Unknown,3,Real estate,36,Own,Skilled,1
8,No credits existing,Car,3398,< 7 year,1,Male,Single,4,Real estate,39,Own,Unskilled resident,1
12,No credits existing,Furniture,5801,>= 7 year,2,Male,Single,4,Life Insurance,49,Rent,Skilled,1
24,Existing credits paid back duly,Car,1525,< 7 year,4,Female,Unknown,3,Car or other property,34,Own,Skilled,1
36,Existing credits paid back duly,Radio/Television,4473,>= 7 year,4,Male,Single,2,Car or other property,31,Own,Skilled,1
6,Existing credits paid back duly,Radio/Television,1068,>= 7 year,4,Male,Single,4,Car or other property,28,Own,Skilled,1
24,No credits existing,Car,6615,Unemployed,2,Male,Single,4,No property,75,Free,Self-employed,1
18,No credits existing,Education,1864,< 4 year,4,Female,Unknown,2,Real estate,30,Own,Skilled,0
60,Existing credits paid back duly,Car,7408,< 1 year,4,Female,Unknown,2,Life Insurance,24,Own,Self-employed,0
48,No credits existing,Car,11590,< 4 year,2,Female,Unknown,4,Car or other property,24,Rent,Unskilled resident,0
24,No credits taken,Furniture,4110,>= 7 year,3,Male,Single,4,No property,23,Rent,Skilled,0
6,No credits existing,Furniture,3384,< 4 year,1,Male,Divorced,4,Real estate,44,Rent,Self-employed,0
13,Existing credits paid back duly,Radio/Television,2101,< 1 year,2,Female,Unknown,4,Life Insurance,23,Own,Unskilled resident,1
15,Existing credits paid back duly,Domestic Appliances,1275,< 4 year,4,Female,Unknown,2,Car or other property,24,Rent,Skilled,0
24,Existing credits paid back duly,Furniture,4169,< 4 year,4,Male,Single,4,Life Insurance,28,Own,Skilled,1
10,Existing credits paid back duly,Furniture,1521,< 4 year,4,Male,Divorced,2,Car or other property,31,Own,Unskilled resident,1
24,No credits existing,Education,5743,< 1 year,2,Female,Unknown,4,No property,24,Free,Skilled,1
21,Existing credits paid back duly,Furniture,3599,< 7 year,1,Female,Unknown,4,Car or other property,26,Rent,Unskilled resident,1
18,Existing credits paid back duly,Radio/Television,3213,< 1 year,1,Male,Married,3,Real estate,25,Rent,Skilled,1
18,Existing credits paid back duly,Business,4439,>= 7 year,1,Male,Single,1,Real estate,33,Own,Self-employed,1
10,Existing credits paid back duly,Car,3949,< 1 year,1,Male,Single,1,Life Insurance,37,Own,Unskilled resident,1
15,No credits existing,Radio/Television,1459,< 4 year,4,Female,Unknown,2,Car or other property,43,Own,Unskilled resident,1
13,No credits existing,Radio/Television,882,< 1 year,4,Male,Single,4,Real estate,23,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,3758,Unemployed,1,Female,Unknown,4,No property,23,Rent,Unemployed,1
6,Delay in paying off,Business,1743,< 4 year,1,Male,Single,2,Real estate,34,Own,Unskilled resident,1
9,No credits existing,Education,1136,>= 7 year,4,Male,Single,3,No property,32,Free,Skilled,0
9,Existing credits paid back duly,Domestic Appliances,1236,< 1 year,1,Female,Unknown,4,Real estate,23,Rent,Skilled,1
9,Existing credits paid back duly,Furniture,959,< 4 year,1,Female,Unknown,2,Car or other property,29,Own,Skilled,0
18,No credits existing,Car,3229,Unemployed,2,Male,Single,4,No property,38,Own,Self-employed,1
12,No credits taken,Radio/Television,6199,< 4 year,4,Male,Single,2,Life Insurance,28,Rent,Skilled,0
10,Existing credits paid back duly,Education,727,>= 7 year,4,Male,Single,4,No property,46,Free,Skilled,1
24,Existing credits paid back duly,Car,1246,< 1 year,4,Male,Single,2,Real estate,23,Own,Unskilled resident,0
12,No credits existing,Radio/Television,2331,>= 7 year,1,Male,Single,4,Real estate,49,Own,Skilled,1
36,Delay in paying off,Radio/Television,4463,< 4 year,4,Male,Single,2,Car or other property,26,Own,Self-employed,0
12,Existing credits paid back duly,Radio/Television,776,< 4 year,4,Male,Married,2,Real estate,28,Own,Skilled,1
30,Existing credits paid back duly,Furniture,2406,< 7 year,4,Female,Unknown,4,Real estate,23,Rent,Skilled,0
18,Existing credits paid back duly,Education,1239,< 4 year,4,Male,Single,4,No property,61,Free,Skilled,1
12,Existing credits paid back duly,Radio/Television,3399,>= 7 year,2,Male,Single,3,Car or other property,37,Own,Self-employed,1
12,Delay in paying off,Car,2247,< 4 year,2,Female,Unknown,2,Car or other property,36,Own,Skilled,1
6,Existing credits paid back duly,Furniture,1766,< 4 year,1,Male,Married,2,Life Insurance,21,Rent,Skilled,1
18,Existing credits paid back duly,Furniture,2473,Unemployed,4,Male,Single,1,Car or other property,25,Own,Unemployed,0
12,Existing credits paid back duly,Business,1542,< 7 year,2,Male,Single,4,Car or other property,36,Own,Skilled,1
18,No credits existing,Car,3850,< 7 year,3,Male,Single,1,Car or other property,27,Own,Skilled,1
18,Existing credits paid back duly,Furniture,3650,< 1 year,1,Female,Unknown,4,Car or other property,22,Rent,Skilled,1
36,Existing credits paid back duly,Furniture,3446,>= 7 year,4,Male,Single,2,Car or other property,42,Own,Skilled,0
18,Existing credits paid back duly,Furniture,3001,< 7 year,2,Female,Unknown,4,Real estate,40,Rent,Skilled,1
36,Existing credits paid back duly,Car,3079,< 4 year,4,Male,Single,4,Real estate,36,Own,Skilled,1
18,No credits existing,Radio/Television,6070,>= 7 year,3,Male,Single,4,Car or other property,33,Own,Skilled,1
10,No credits existing,Furniture,2146,< 1 year,1,Female,Unknown,3,Real estate,23,Rent,Skilled,1
60,No credits existing,Car,13756,>= 7 year,2,Male,Single,4,No property,63,Free,Self-employed,1
60,Credits paid back duly,Car0,14782,>= 7 year,3,Female,Unknown,4,No property,60,Free,Self-employed,0
48,Credits paid back duly,Business,7685,< 7 year,2,Female,Unknown,4,Car or other property,37,Rent,Skilled,0
18,Delay in paying off,Radio/Television,2320,Unemployed,2,Male,Married,3,Real estate,34,Own,Skilled,1
7,Delay in paying off,Radio/Television,846,>= 7 year,3,Male,Single,4,No property,36,Free,Skilled,1
36,Existing credits paid back duly,Car,14318,>= 7 year,4,Male,Single,2,No property,57,Free,Self-employed,0
6,No credits existing,Car,362,< 4 year,4,Female,Unknown,4,Car or other property,52,Own,Unskilled resident,1
20,Existing credits paid back duly,Furniture,2212,< 7 year,4,Male,Single,4,Car or other property,39,Own,Skilled,1
18,Existing credits paid back duly,Car,12976,Unemployed,3,Female,Unknown,4,No property,38,Free,Self-employed,0
22,Existing credits paid back duly,Car,1283,< 7 year,4,Female,Unknown,4,Life Insurance,25,Rent,Skilled,1
12,Existing credits paid back duly,Car,1330,< 1 year,4,Male,Single,1,Real estate,26,Own,Skilled,1
30,Delay in paying off,Business,4272,< 4 year,2,Male,Single,2,Life Insurance,26,Own,Unskilled resident,1
18,No credits existing,Radio/Television,2238,< 4 year,2,Female,Unknown,1,Car or other property,25,Own,Skilled,1
18,Existing credits paid back duly,Radio/Television,1126,< 1 year,4,Female,Unknown,2,Real estate,21,Rent,Skilled,1
18,No credits existing,Furniture,7374,Unemployed,4,Male,Single,4,Life Insurance,40,Own,Self-employed,1
15,No credits existing,Business,2326,< 4 year,2,Male,Single,4,Car or other property,27,Own,Skilled,1
9,Existing credits paid back duly,Business,1449,< 7 year,3,Female,Unknown,2,Car or other property,27,Own,Skilled,1
18,Existing credits paid back duly,Car,1820,< 4 year,2,Male,Married,2,Life Insurance,30,Own,Self-employed,1
12,Existing credits paid back duly,Furniture,983,< 1 year,1,Female,Unknown,4,Real estate,19,Rent,Unskilled resident,1
36,Existing credits paid back duly,Car,3249,< 7 year,2,Male,Single,4,No property,39,Free,Self-employed,1
6,No credits existing,Radio/Television,1957,< 7 year,1,Female,Unknown,4,Car or other property,31,Own,Skilled,1
9,No credits existing,Furniture,2406,Unemployed,2,Male,Single,3,Car or other property,31,Own,Self-employed,1
39,Delay in paying off,Education,11760,< 7 year,2,Male,Single,3,No property,32,Rent,Skilled,1
12,Existing credits paid back duly,Furniture,2578,Unemployed,3,Female,Unknown,4,No property,55,Free,Self-employed,1
36,No credits existing,Furniture,2348,< 4 year,3,Male,Married,2,Life Insurance,46,Own,Skilled,1
12,Existing credits paid back duly,Car,1223,>= 7 year,1,Male,Divorced,1,Real estate,46,Rent,Skilled,0
24,No credits existing,Radio/Television,1516,< 4 year,4,Female,Unknown,1,Real estate,43,Own,Unskilled resident,1
18,Existing credits paid back duly,Radio/Television,1473,< 1 year,3,Male,Married,4,Real estate,39,Own,Skilled,1
18,No credits existing,Business,1887,< 4 year,4,Male,Married,4,Real estate,28,Own,Skilled,1
24,Delay in paying off,Business,8648,< 1 year,2,Male,Single,2,Car or other property,27,Own,Skilled,0
14,Delay in paying off,Car,802,< 4 year,4,Male,Single,2,Car or other property,27,Own,Unskilled resident,1
18,Delay in paying off,Car,2899,>= 7 year,4,Male,Single,4,Car or other property,43,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,2039,< 1 year,1,Male,Married,1,Life Insurance,22,Own,Skilled,0
24,No credits existing,Car,2197,< 7 year,4,Male,Single,4,Car or other property,43,Own,Skilled,1
15,Existing credits paid back duly,Radio/Television,1053,< 1 year,4,Male,Married,2,Real estate,27,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,3235,>= 7 year,3,Male,Divorced,2,Car or other property,26,Own,Self-employed,1
12,No credits existing,Car,939,< 7 year,4,Male,Married,2,Real estate,28,Own,Skilled,0
24,Existing credits paid back duly,Radio/Television,1967,>= 7 year,4,Female,Unknown,4,Car or other property,20,Own,Skilled,1
33,No credits existing,Car,7253,< 7 year,3,Male,Single,2,Car or other property,35,Own,Self-employed,1
12,No credits existing,Business,2292,Unemployed,4,Male,Single,2,Car or other property,42,Own,Self-employed,0
10,Existing credits paid back duly,Car,1597,< 4 year,3,Male,Single,2,No property,40,Rent,Unskilled resident,1
24,Existing credits paid back duly,Car,1381,< 4 year,4,Female,Unknown,2,Life Insurance,35,Own,Skilled,0
36,No credits existing,Car,5842,>= 7 year,2,Male,Single,2,Life Insurance,35,Own,Skilled,1
12,Existing credits paid back duly,Car,2579,< 1 year,4,Male,Single,1,Real estate,33,Own,Unskilled resident,0
18,Delay in paying off,Education,8471,< 4 year,1,Female,Unknown,2,Car or other property,23,Rent,Skilled,1
21,Existing credits paid back duly,Car,2782,< 7 year,1,Female,Unknown,2,Car or other property,31,Own,Self-employed,1
18,Existing credits paid back duly,Car,1042,< 4 year,4,Female,Unknown,2,Life Insurance,33,Own,Skilled,0
15,Existing credits paid back duly,Car,3186,< 7 year,2,Female,Unknown,3,Car or other property,20,Rent,Skilled,1
12,Existing credits paid back duly,Car,2028,< 4 year,4,Male,Single,2,Car or other property,30,Own,Skilled,1
12,No credits existing,Car,958,< 7 year,2,Male,Single,3,Real estate,47,Own,Unskilled resident,1
21,Delay in paying off,Furniture,1591,< 7 year,4,Male,Single,3,Real estate,34,Own,Self-employed,1
12,Existing credits paid back duly,Furniture,2762,>= 7 year,1,Female,Unknown,2,Life Insurance,25,Own,Skilled,0
18,Existing credits paid back duly,Car,2779,< 4 year,1,Male,Married,3,Car or other property,21,Rent,Skilled,1
28,No credits existing,Radio/Television,2743,>= 7 year,4,Male,Single,2,Car or other property,29,Own,Skilled,1
18,No credits existing,Radio/Television,1149,< 4 year,4,Male,Single,3,Real estate,46,Own,Skilled,1
9,Existing credits paid back duly,Furniture,1313,>= 7 year,1,Male,Single,4,Car or other property,20,Own,Skilled,1
18,No credits existing,Repairs,1190,Unemployed,2,Female,Unknown,4,No property,55,Free,Unemployed,0
5,Existing credits paid back duly,Business,3448,< 7 year,1,Male,Single,4,Real estate,74,Own,Unskilled resident,1
24,Existing credits paid back duly,Car0,11328,< 4 year,2,Male,Single,3,Car or other property,29,Own,Self-employed,0
6,No credits existing,Furniture,1872,Unemployed,4,Male,Single,4,No property,36,Free,Self-employed,1
24,No credits existing,Repairs,2058,< 4 year,4,Male,Divorced,2,Real estate,33,Own,Skilled,1
9,Existing credits paid back duly,Furniture,2136,< 4 year,3,Male,Single,2,Real estate,25,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,1484,< 4 year,2,Male,Married,1,Real estate,25,Own,Skilled,0
6,Existing credits paid back duly,Repairs,660,< 7 year,2,Male,Married,4,Real estate,23,Rent,Unskilled resident,1
24,No credits existing,Car,1287,>= 7 year,4,Female,Unknown,4,Real estate,37,Own,Skilled,1
42,No credits existing,Repairs,3394,Unemployed,4,Male,Single,4,Car or other property,65,Own,Unemployed,1
12,Credits paid back duly,Business,609,< 1 year,4,Female,Unknown,1,Real estate,26,Own,Unemployed,0
12,Existing credits paid back duly,Car,1884,>= 7 year,4,Male,Single,4,Car or other property,39,Own,Self-employed,1
12,Existing credits paid back duly,Furniture,1620,< 4 year,2,Female,Unknown,3,Life Insurance,30,Own,Skilled,1
20,Delay in paying off,Car0,2629,< 4 year,2,Male,Single,3,Car or other property,29,Own,Skilled,1
12,Existing credits paid back duly,Education,719,>= 7 year,4,Male,Single,4,Car or other property,41,Own,Unskilled resident,0
48,No credits existing,Furniture,5096,< 4 year,2,Female,Unknown,3,Car or other property,30,Own,Self-employed,0
9,No credits existing,Education,1244,>= 7 year,4,Female,Unknown,4,Life Insurance,41,Rent,Unskilled resident,1
36,Existing credits paid back duly,Car,1842,< 1 year,4,Female,Unknown,4,Car or other property,34,Own,Skilled,0
7,Existing credits paid back duly,Radio/Television,2576,< 4 year,2,Male,Single,2,Real estate,35,Own,Skilled,1
12,Existing credits paid back duly,Furniture,1424,>= 7 year,3,Female,Unknown,4,Real estate,55,Own,Self-employed,1
15,Delay in paying off,Repairs,1512,< 4 year,3,Male,Married,3,Life Insurance,61,Own,Skilled,0
36,No credits existing,Car,11054,< 4 year,4,Male,Single,2,Car or other property,30,Own,Self-employed,1
6,Existing credits paid back duly,Radio/Television,518,< 4 year,3,Female,Unknown,1,Real estate,29,Own,Skilled,1
12,No credits taken,Furniture,2759,>= 7 year,2,Male,Single,4,Life Insurance,34,Own,Skilled,1
24,Existing credits paid back duly,Car,2670,>= 7 year,4,Male,Single,4,Car or other property,35,Own,Self-employed,1
24,Existing credits paid back duly,Car,4817,< 7 year,2,Male,Single,3,Life Insurance,31,Own,Skilled,0
24,Existing credits paid back duly,Car,2679,< 1 year,4,Female,Unknown,1,No property,29,Own,Self-employed,1
11,No credits existing,Car,3905,< 4 year,2,Male,Single,2,Real estate,36,Rent,Skilled,1
12,Existing credits paid back duly,Car,3386,>= 7 year,3,Male,Single,4,No property,35,Free,Skilled,0
6,Existing credits paid back duly,Domestic Appliances,343,< 1 year,4,Female,Unknown,1,Real estate,27,Own,Skilled,1
18,Existing credits paid back duly,Radio/Television,4594,< 1 year,3,Male,Single,2,Car or other property,32,Own,Skilled,1
36,Existing credits paid back duly,Furniture,3620,< 4 year,1,Male,Single,2,Life Insurance,37,Own,Skilled,1
15,Existing credits paid back duly,Car,1721,< 1 year,2,Male,Single,3,Real estate,36,Own,Skilled,1
12,Existing credits paid back duly,Furniture,3017,< 1 year,3,Female,Unknown,1,Real estate,34,Rent,Self-employed,1
12,Existing credits paid back duly,Retraining,754,>= 7 year,4,Male,Single,4,Life Insurance,38,Own,Skilled,1
18,Existing credits paid back duly,Business,1950,< 7 year,4,Male,Single,1,Car or other property,34,Own,Skilled,1
24,Existing credits paid back duly,Car,2924,< 4 year,3,Male,Single,4,No property,63,Own,Skilled,1
24,Delay in paying off,Radio/Television,1659,< 1 year,4,Female,Unknown,2,Car or other property,29,Rent,Unskilled resident,0
48,Delay in paying off,Radio/Television,7238,>= 7 year,3,Male,Single,3,Car or other property,32,Own,Skilled,1
33,Delay in paying off,Business,2764,< 4 year,2,Female,Unknown,2,Car or other property,26,Own,Skilled,1
24,Delay in paying off,Car,4679,< 7 year,3,Male,Single,3,Car or other property,35,Own,Unskilled resident,1
24,Existing credits paid back duly,Radio/Television,3092,< 1 year,3,Male,Married,2,Car or other property,22,Rent,Skilled,0
6,Existing credits paid back duly,Education,448,< 1 year,4,Female,Unknown,4,Life Insurance,23,Own,Skilled,0
9,Existing credits paid back duly,Car,654,< 4 year,4,Male,Single,3,Car or other property,28,Own,Unskilled resident,0
6,Existing credits paid back duly,Retraining,1238,Unemployed,4,Male,Single,4,Life Insurance,36,Own,Self-employed,1
18,No credits existing,Radio/Television,1245,< 4 year,4,Male,Married,2,Car or other property,33,Own,Skilled,0
18,No credits taken,Furniture,3114,< 1 year,1,Female,Unknown,4,Life Insurance,26,Rent,Skilled,0
39,Existing credits paid back duly,Car,2569,< 4 year,4,Male,Single,4,Car or other property,24,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,5152,< 7 year,4,Male,Single,2,Car or other property,25,Own,Skilled,1
12,Existing credits paid back duly,Business,1037,< 7 year,3,Male,Single,4,Real estate,39,Own,Unskilled resident,1
15,No credits existing,Furniture,1478,>= 7 year,4,Male,Single,4,Car or other property,44,Own,Skilled,1
12,No credits existing,Radio/Television,3573,< 4 year,1,Female,Unknown,1,Real estate,23,Own,Unskilled resident,1
24,Existing credits paid back duly,Car,1201,< 1 year,4,Male,Single,1,Life Insurance,26,Own,Skilled,1
30,Existing credits paid back duly,Furniture,3622,>= 7 year,4,Female,Unknown,4,Life Insurance,57,Rent,Skilled,1
15,Delay in paying off,Furniture,960,< 7 year,3,Female,Unknown,2,Life Insurance,30,Own,Skilled,1
12,No credits existing,Car,1163,< 4 year,4,Male,Single,4,Real estate,44,Own,Skilled,1
6,Delay in paying off,Car,1209,Unemployed,4,Male,Single,4,Life Insurance,47,Own,Self-employed,0
12,Existing credits paid back duly,Radio/Television,3077,< 4 year,2,Male,Single,4,Car or other property,52,Own,Skilled,1
24,Existing credits paid back duly,Car,3757,>= 7 year,4,Female,Unknown,4,No property,62,Free,Skilled,1
10,Existing credits paid back duly,Car,1418,< 4 year,3,Male,Single,2,Real estate,35,Rent,Unskilled resident,1
6,Existing credits paid back duly,Car,3518,< 4 year,2,Male,Single,3,Life Insurance,26,Rent,Skilled,1
12,No credits existing,Radio/Television,1934,>= 7 year,2,Male,Single,2,No property,26,Own,Skilled,1
27,No credits taken,Business,8318,>= 7 year,2,Female,Unknown,4,No property,42,Free,Self-employed,0
6,No credits existing,Radio/Television,1237,< 4 year,1,Female,Unknown,1,Life Insurance,27,Own,Skilled,1
6,Existing credits paid back duly,Radio/Television,368,>= 7 year,4,Male,Single,4,Life Insurance,38,Own,Skilled,1
12,No credits existing,Car,2122,< 4 year,3,Male,Single,2,Real estate,39,Rent,Unskilled resident,1
24,Existing credits paid back duly,Furniture,2996,< 4 year,2,Male,Married,4,Car or other property,20,Own,Skilled,0
36,Existing credits paid back duly,Furniture,9034,< 1 year,4,Male,Single,1,No property,29,Rent,Self-employed,0
24,No credits existing,Furniture,1585,< 7 year,4,Male,Single,3,Life Insurance,40,Own,Skilled,1
18,Existing credits paid back duly,Radio/Television,1301,>= 7 year,4,Male,Married,2,Real estate,32,Own,Unskilled resident,1
6,No credits existing,Car,1323,>= 7 year,2,Male,Divorced,4,Car or other property,28,Own,Skilled,1
24,Existing credits paid back duly,Car,3123,< 1 year,4,Female,Unknown,1,Life Insurance,27,Own,Skilled,0
36,Existing credits paid back duly,Car,5493,>= 7 year,2,Male,Single,4,No property,42,Free,Skilled,1
9,Existing credits paid back duly,Radio/Television,1126,>= 7 year,2,Male,Divorced,4,Real estate,49,Own,Skilled,1
24,No credits existing,Radio/Television,1216,< 1 year,4,Male,Single,4,No property,38,Own,Skilled,0
24,Existing credits paid back duly,Car,1207,< 1 year,4,Female,Unknown,4,Life Insurance,24,Rent,Skilled,0
10,Existing credits paid back duly,Car,1309,< 4 year,4,Male,Single,4,Life Insurance,27,Own,Unskilled resident,0
15,No credits existing,Car,2360,< 4 year,2,Male,Single,2,Car or other property,36,Own,Skilled,1
15,Credits paid back duly,Car,6850,Unemployed,1,Male,Single,2,Life Insurance,34,Own,Self-employed,0
24,Existing credits paid back duly,Radio/Television,1413,< 4 year,4,Male,Married,2,Life Insurance,28,Own,Skilled,1
39,Existing credits paid back duly,Car,8588,>= 7 year,4,Male,Single,2,Car or other property,45,Own,Self-employed,1
12,Existing credits paid back duly,Car,759,< 7 year,4,Male,Single,2,Real estate,26,Own,Skilled,0
36,Existing credits paid back duly,Car,4686,< 4 year,2,Male,Single,2,No property,32,Free,Self-employed,1
15,Existing credits paid back duly,Business,2687,< 7 year,2,Male,Single,4,Life Insurance,26,Rent,Skilled,1
12,Delay in paying off,Radio/Television,585,< 4 year,4,Male,Married,4,Real estate,20,Rent,Skilled,1
24,Existing credits paid back duly,Car,2255,< 1 year,4,Male,Single,1,Life Insurance,54,Own,Skilled,1
